Id,Naslov,Opis,Cena,Kategorija
ID Oglasa: #121541484,Vinkla uglomer metalni BLACK,"{'file1': 'Metalne vinkle uglomeri za razlicite namene, u ponudi,\n\n. manji model 18x18.5x26cm, debljina tela vinkle 4mm. . . . . .500 din\n\n. veći model 30x30.5x43cm, debljina tela vinkle 4.5mm. . . .1000 din \nID Oglasa: #121541484\nPrijavi', 'file2': 'Metalne vinkle uglomeri za razlicite namene, u ponudi,\n\n. manji model 18x18.5x26cm, debljina tela vinkle 4mm. . . . . .480 din\n\n. veći model 30x30.5x43cm, debljina tela vinkle 4.5mm. . . .980 din \nID Oglasa: #121541484\nPrijavi'}","{'file1': '500 din\nZamena moguća', 'file2': '480 din\nZamena moguća'}",
ID Oglasa: #167969443,Držač za telefon magnetni teleskopski A15,,,"{'file1': 'Automobili | Oprema\n>\nDržači za mobilne i tablete', 'file2': 'Auto oprema\n>\nDržači za mobilne i tablete'}"
ID Oglasa: #168435110,Radapciger TGR dvokraki FLAT 75mm/100mm/150mm,"{'file1': 'Radapcigeri dvokraki flet metqlni, u ponudi,\n●75mm. .. ..38x65mm. .. ..500 din\n●100mm. ..40x 80mm. .. .600 din\n●150mm. ..55x90mm. .. ..750 din\n  Novo u blister pakovanju\nID Oglasa: #168435110\nPrijavi', 'file2': 'Radapcigeri dvokraki flet metalni, u ponudi,\n  ● 75 mm. . . . .38 x 65 mm. . . . .500 din\n● 100 mm. . . 40 x 80 mm. . . . .600 din\n● 150 mm. . . 55 x 90 mm. . . . .750 din\n  Novo u blister pakovanju\nID Oglasa: #168435110\nPrijavi'}",,
ID Oglasa: #169577561,Scratch-dini vosak za uklanjanje ogrebotina na autu,,,"{'file1': 'Automobili | Oprema\n>\nKozmetika za auto', 'file2': 'Auto oprema\n>\nKozmetika za auto'}"
ID Oglasa: #17470885,Klesta za buksne-stopice,"{'file1': 'jaka i kvalitetna metalna klesta za pravljenje buksni-stopica, za sečenje žica, srske izolovane plastikom, duzina alata 185mm . . .\nID Oglasa: #17470885\nPrijavi', 'file2': 'jaka i kvalitetna metalna klesta za pravljenje buksni-stopica, za sečenje žica, srske izolovane plastikom, duzina alata 185mm . .\n●Multifunkcionalna klešta za buksne, stopice za presovanje za razne priključke.\n●Aplikacija: . neizolovani konektori. izolovani terminali. neizolovani terminali. terminali D-Sub konektoraPresek žice:0,5-4mm2/ AVG 12-20 (neizolovani konektori)0,08-0,14mm2 /AVG 26-28 (D-Sub konektori)0,14-0,34mm2 AVG 22-26 (izolovani terminali)0,5-6mm02-AVG2\n.\nID Oglasa: #17470885\nPrijavi'}",,
ID Oglasa: #42179238,Pneumatski pistolj sa manometrom za pumpanje guma,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #109175741,Pumpa za pretakanje vode za bušilicu,,"{'file1': '540 din\nZamena moguća', 'file2': '530 din\nZamena moguća'}",
ID Oglasa: #142176147,Radapciger trokraki 75/100/150/200/250/300mm,"{'file1': 'Metalni trokraki radapcigeri, u ponudi\n  ● 75mm. . . . . . .540 din\n● 100mm. . . . . .640 din\n● 150mm. .. .. .. .1100 din\n● 200mm. .. .. .. .1400 din\n● 250mm. .. .. .. .1900 din\n● 300mm. .. .. .. .2400 din\nID Oglasa: #142176147\nPrijavi', 'file2': 'Metalni trokraki radapcigeri, u ponudi\n  ● 75mm. . . . . . .540 din\n● 100mm. . . . . .640 din\n● 150mm. . . . . . . .1190 din\n● 200mm. . . . . . . .1590 din\n● 250mm. . . . . . . .1990 din\n● 300mm. .. .. .. .. .2490 din\n ID Oglasa: #142176147\nPrijavi'}",,
ID Oglasa: #134706577,"Alarm pokreta,bezicno zvono,PIR senzor","{'file1': 'Ово бежично звоно је идеално за употребу у продавницама, радионицама или складиштима за уграђени сензор покрета који ће сигнализирати када детектује кретање.  ПОВЕЋАЈТЕ СИГУРНОСТ.  Детектор покрета високе осетљивости вас упозорава када се неко приближи вашим вратима.  ИИ▻Аларм са сензором покрета, бежичним детектором звона Аларм или звоно на даљинском систему детектора покрета\nID Oglasa: #134706577\nPrijavi', 'file2': 'BATERIJE GRATIS\n  Ово бежично звоно је идеално за употребу у продавницама, радионицама или складиштима за уграђени сензор покрета који ће сигнализирати када детектује кретање.  ПОВЕЋАЈТЕ СИГУРНОСТ.  Детектор покрета високе осетљивости вас упозорава када се неко приближи вашим вратима.  ИИ▻Аларм са сензором покрета, бежичним детектором звона Аларм или звоно на даљинском систему детектора покрета\nID Oglasa: #134706577\nPrijavi'}","{'file1': '550 din\nZamena moguća', 'file2': '600 din\nZamena moguća'}",
ID Oglasa: #99436633,"Pistolj za plastiku DINGQI 20w,60w,100w","{'file1': 'Kvalitetni pistolji za topljenje plastike sa prekidacem i indikacijom rada, u ponudi \n20w(7.2mm stap). .. ..550din\n60w(11mm stap). .. ..650din\n100w(11mm stap). ..800din\n\n\nID Oglasa: #99436633\nPrijavi', 'file2': 'Kvalitetni pistolji za topljenje plastike sa prekidacem i indikacijom rada, u ponudi,\n \n● 20w (7.2mm stap). . . . .600din\n● 60w (11mm stap). . . . .700din\n● 100w (11mm stap). . . .900din\n\n\nID Oglasa: #99436633\nPrijavi'}","{'file1': '550 din\nZamena moguća', 'file2': '600 din\nZamena moguća'}",
ID Oglasa: #129910094,Produzni kabl 3rupe 2m/3m/5m 3x1.5mm kabl 3000w,"{'file1': 'Produzni kablovi domaće proizvodnje, jacina 3000w, moze za velike potrošače, kabl domaći 3x1.5mm, u ponudi,\n.3 prikljucnice 2metra. .. .. .550din\n.3 prikljucnice 3metra. .. .. .650din\n.3 prikljucnice 5metra. .. .. .750din\nID Oglasa: #129910094\nPrijavi', 'file2': 'Produzni kablovi domaće proizvodnje, jacina 3000w, moze za velike potrošače, kabl domaći 3x1.5mm, u ponudi,\n.3 prikljucnice 2metra. . . . . .550din\n.3 prikljucnice 3metra. . . . . .650din\n.3 prikljucnice 5metra. . . . . .750din\nID Oglasa: #129910094\nPrijavi'}",,
ID Oglasa: #142640636,Brener ručni elektronski,"{'file1': 'Brener rucni elektronski, u ponudi i butan gas bocom od 227g. . . . izmenjiva boca,\n● brener 550 din\n● butan boca 227g 400 din\nID Oglasa: #142640636\nPrijavi', 'file2': 'Brener rucni elektronski, u ponudi i butan gas bocom od 227g. . . . izmenjiva boca,\n● brener 500 din\n● butan boca 227g 400 din\nID Oglasa: #142640636\nPrijavi'}","{'file1': '550 din', 'file2': '490 din'}",
ID Oglasa: #121415561,"Pumpa za pretakanje iz flaše/ulja u menjač,diferencijal itd",,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #149617366,Zaštitni vizir SLX pro,,"{'file1': '580 din', 'file2': '440 din'}",
ID Oglasa: #52554343,Solarna punjiva led lampa sa USBom,,"{'file1': '580 din', 'file2': '480 din'}",
ID Oglasa: #146911957,"Auto led ambijentalno osvetljenje 3m ICE BLUE,BLUE,RED",,,"{'file1': 'Automobili | Oprema\n>\nSijalice | LED, diode i trake', 'file2': 'Auto oprema\n>\nSijalice | LED, diode i trake'}"
ID Oglasa: #151202494,Glava za trimer 6 noževa NINJA BLADE,,"{'file1': '580 din', 'file2': '480 din'}",
ID Oglasa: #140357806,Vodootporna butil alu traka 10cm/5m,"{'file1': 'Водонепропусна бутил трака величина и материјал: дужина: 5м, ширина: 10 цм. подлога од алуминијумске фолије, бутил гума. са водоотпорном функцијом, наша водонепропусна трака може ефикасно зауставити цурење. широка примена: погодно за пропуштање кровова, заптивање прозора, тенде за РВ, олуке, изливнике, чамце, лична пловила, кануе, опрему на отвореном, мобилне кућице, РВ и кампере, пвц и водоводне цеви, системе за прскање, врата, зидове, шавове, вентилациони отвори, ваздушни канали, системи за климатизацију, дии пројекти, итд. трајна и трајна употреба: слојеви отпорни на хабање, неклизајући и издржљиви. може одржати флексибилност и приањање, издржати одређени степен померања и деформације. стопа истезања од 1000%, отпорност на старење 30 година. једноставан за употребу: пре него што причврстите траку, држите циљну површину чистом, сувом и без уља.\nID Oglasa: #140357806\nPrijavi', 'file2': 'U ponudi\n●  5 cm širina - 5 metra. . . . . .370 din\n●  10 cm širina - 5 metra. . . . .530 din\n\nSamolepljiva traka,   otporna na visoke temperature idealna  za popravku zidnih krovnih cevi. .\nMogu da formiraju trenutno zaptivanje protiv vode, vazduha ili prašine i ostaju trajno meke.\n\nZaptivna traka je vodootporna, nepropusna za difuziju, otporna na ulje i vodu, samolepljiva, trajno elastična, otporna na zapreminu, otporna na UV zračenje\n\nButil traka sa snagom na smicanje: 43 N/cm2, čvrstoća lepljenja: 50 N/25 mm, izduženje 9%. Otpornost na temperaturu: -40° C do +80° C, najbolja adhezija na >15° C\nTraka je npr. pogodna za zaptivanje oluka, fasada, kao zaptivanje npr. za prozore, kamp prikolice, krovove\nButil lepljiva traka lepi na mnoge različite površine, na primer staklo, beton, metal, plastiku, drvo, kamen i bitumen\nID Oglasa: #140357806\nPrijavi'}","{'file1': '590 din\nZamena moguća', 'file2': '370 din\nZamena moguća'}",
ID Oglasa: #157508923,Led lampa za glavu FLEXI senzor,,"{'file1': '590 din', 'file2': '550 din'}",
ID Oglasa: #67104658,Eida EI tastatura veš mašine NOVO,"{'file1': 'NOVO NOVO NOVO\n\ntastatura veš mašine EI EIDA. . . .   garancija na tastaturu godinu dana\nID Oglasa: #67104658\nPrijavi', 'file2': 'NOVO NOVO NOVO\n\ntastatura veš mašine EI EIDA. . . .   \nID Oglasa: #67104658\nPrijavi'}","{'file1': '600 din\nZamena moguća', 'file2': '700 din'}",
ID Oglasa: #142174109,Zice spajalice za lemljenje/varenje plastike 500kom 4 modela,"{'file1': 'Set spajalica od 500kom za pistolj za varenje plastike. . .4 modela u ponudi, navedite koji model želite. . . . CENA PO JEDNOM PAKETU, ne prodajemo na komad. .. .. model 1 i 2 nema trenutno\nID Oglasa: #142174109\nPrijavi', 'file2': 'Set spajalica od 500kom za pistolj za varenje plastike. . .4 modela u ponudi, navedite koji model želite. . . . CENA PO JEDNOM PAKETU, ne prodajemo na komad. . . . . model 1 i 2 nema trenutno\nID Oglasa: #142174109\nPrijavi'}","{'file1': '600 din', 'file2': '580 din'}",
ID Oglasa: #168121823,Stepen ključ 1/2col 360 stepeni,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #43147425,Alat kljuc za skidanje i namestanje filtera ulja 63-110mm,,"{'file1': '640 din\nZamena moguća', 'file2': '640 din'}","{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #60318606,"Set kruna za busenje drveta,knaufa,gipsa 19-127",,"{'file1': '650 din\nZamena moguća', 'file2': '550 din\nZamena moguća'}",
ID Oglasa: #120271567,Glava za trimer samonamotavajući automatik M10x1.25 levi,,"{'file1': '650 din\nZamena moguća', 'file2': '590 din\nZamena moguća'}",
ID Oglasa: #158449111,Čelična žičana glava za trimer 150mm/200mm,"{'file1': 'Čelična četka za trimer;\n\nPrečnik centralnog otvora 25,4mm;\nGlava za trimer sa čeličnom četkom sa kojom možete brzo i efikasno uklanjati travu, rastinje, uporan korov, mahovinu i male biljke koje rastu između ploča na stazi. Efikasno uklanja fleke i čisti behaton ploče.\nU ponudi dva modela\n● 6"" - 150mm. . . .650 din\n● 8"" - 200 mm. . .750 din\nID Oglasa: #158449111\nPrijavi', 'file2': 'Čelična četka za trimer;\n\nPrečnik centralnog otvora 25,4mm;\nGlava za trimer sa čeličnom četkom sa kojom možete brzo i efikasno uklanjati travu, rastinje, uporan korov, mahovinu i male biljke koje rastu između ploča na stazi. Efikasno uklanja fleke i čisti behaton ploče.\nU ponudi dva modela\n● 6"" - 150mm. . . .630 din\n● 8"" - 200 mm. . .730 din\nID Oglasa: #158449111\nPrijavi'}","{'file1': '650 din', 'file2': '630 din'}",
ID Oglasa: #167015831,Punjiva LED radna lampa fleksi sa magnetom,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #168122605,Šelne za karike-3 veličine,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #83018180,Pistolj za pur penu PRO metalni/tip 2,,"{'file1': '680 din\nZamena moguća', 'file2': '730 din\nZamena moguća'}",
ID Oglasa: #119186669,Glava za trimer sa lancem M10 levi navoj,,"{'file1': '690 din\nZamena moguća', 'file2': '590 din\nZamena moguća'}",
ID Oglasa: #141100701,Pistolj za pur penu METALNI tip 3,"{'file1': 'Pistolj za pur penu, metalni komplet, duzina 320mm\nID Oglasa: #141100701\nPrijavi', 'file2': 'Pistolj za pur penu, metalni, duzina 320mm\nID Oglasa: #141100701\nPrijavi'}","{'file1': '690 din\nZamena moguća', 'file2': '750 din\nZamena moguća'}",
ID Oglasa: #156365402,Nivelatori za keramiku/pločice set 50kom plus zavijač,,"{'file1': '690 din', 'file2': '680 din'}",
ID Oglasa: #125768165,"Vezice za sneg 14""/19"" NIKEN 10kom",,,"{'file1': 'Automobili | Oprema\n>\nLanci za sneg', 'file2': 'Auto oprema\n>\nLanci za sneg'}"
ID Oglasa: #129230611,Kutija za odlaganje sitnica izmedju sedišta sa 2USB porta,,,"{'file1': 'Automobili | Oprema\n>\nOstalo', 'file2': 'Auto oprema\n>\nOstalo'}"
ID Oglasa: #149963048,Prikljucak za trimer/kopačica tarup glava za trimer,,"{'file1': '750 din', 'file2': '490 din'}",
ID Oglasa: #116315370,Torba za gepek 3u1,,,"{'file1': 'Automobili | Oprema\n>\nKozmetika za auto', 'file2': 'Auto oprema\n>\nKozmetika za auto'}"
ID Oglasa: #155668279,Ključ za točkove teleskopski 17/19/21/23,,,"{'file1': 'Automobili | Oprema\n>\nObavezna oprema', 'file2': 'Auto oprema\n>\nObavezna oprema'}"
ID Oglasa: #64837160,Set glodala za drvo KLAP ŠARKE,,"{'file1': '850 din\nZamena moguća', 'file2': '900 din\nZamena moguća'}",
ID Oglasa: #149667571,Drzac stalak za mikrofon/teleskopski,,,"{'file1': 'Muzika i instrumenti\n>\nMikrofoni | Oprema i delovi', 'file2': 'Muzički instrumenti\n>\nMikrofoni | Oprema i delovi'}"
ID Oglasa: #143267010,Vezice za sneg 10kom,,,"{'file1': 'Automobili | Oprema\n>\nLanci za sneg', 'file2': 'Auto oprema\n>\nLanci za sneg'}"
ID Oglasa: #151621493,Klešta za spojke creva goriva na automobilima,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #17619925,"Lupa sa postoljem,treca ruka i nosac lemilice SLX1",,"{'file1': '900 din\nZamena moguća', 'file2': '850 din\nZamena moguća'}",
ID Oglasa: #157813476,Alat za vraćanje kočionih klipova/cilindara,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #126319568,Unimer digitalni VC9205N,"{'file1': 'DC Jednosmerni napon   - 200mV , 2V , 20V , 200V , 1000V    \nAC Naizmenični napon   -  2V , 20V , 200V , 750V    \nDC Jednosmerna struja   - 20mA , 2mA , 200mA , 20A    \nC Naizmenicna struja   -  2mA , 200mA , 20A    \nOhm-metar   - 200 , 2k , 20k , 200k , 2M , 20M   +   Buzer Dioda test    \nKapacitet   -  20nF , 2m\x1aF , 20m\x1aF , 200m\x1aF    \nhFE   -   pojacanje poluprovodnika NPN i PNP\ntest dioda\nhfE test\nzujalica\nauto iskljucenje    \nindikacija istrosenosti baterije\nzastita od preopterecenja    \ndigitalni LCD prikaz\nampermetar, voltmetar, ohmmetar\nID Oglasa: #126319568\nPrijavi', 'file2': 'REMgSmVkbm9zbWVybmkgbmFwb24gICAtIDIwMG1WICwgMlYgLCAyMFYgLCAyMDBWICwgMTAwMFYgICAgCkFDIE5haXptZW5pxI1uaSBuYXBvbiAgIC0gIDJWICwgMjBWICwgMjAwViAsIDc1MFYgICAgCkRDIEplZG5vc21lcm5hIHN0cnVqYSAgIC0gMjBtQSAsIDJtQSAsIDIwMG1BICwgMjBBICAgIApDIE5haXptZW5pY25hIHN0cnVqYSAgIC0gIDJtQSAsIDIwMG1BICwgMjBBICAgIApPaG0tbWV0YXIgICAtIDIwMCAsIDJrICwgMjBrICwgMjAwayAsIDJNICwgMjBNICAgKyAgIEJ1emVyIERpb2RhIHRlc3QgICAgCkthcGFjaXRldCAgIC0gIDIwbkYgLCAybRpGICwgMjBtGkYgLCAyMDBtGkYgICAgCmhGRSAgIC0gICBwb2phY2FuamUgcG9sdXByb3ZvZG5pa2EgTlBOIGkgUE5QCnRlc3QgZGlvZGEKaGZFIHRlc3QKenVqYWxpY2EKYXV0byBpc2tsanVjZW5qZSAgICAKaW5kaWthY2lqYSBpc3Ryb3Nlbm9zdGkgYmF0ZXJpamUKemFzdGl0YSBvZCBwcmVvcHRlcmVjZW5qYSAgICAKZGlnaXRhbG5pIExDRCBwcmlrYXoKYW1wZXJtZXRhciwgdm9sdG1ldGFyLCBvaG1tZXRhcgpJRCBPZ2xhc2E6ICMxMjYzMTk1NjgKUHJpamF2aQ=='}",,
ID Oglasa: #125529065,Zeger klesta set 4kom DINGQI 180mm,,"{'file1': '990 din\nZamena moguća', 'file2': '880 din\nZamena moguća'}",
ID Oglasa: #126456115,Digitalni multimetar/unimer VC9208N sonda,"{'file1': 'Jedan od najboljih unimera u ponudi.  \n\n- Sam unimer je izradjen od tvrde crne plastike. - Ekran na unimeru je LCD.  \n- Unimer se sam isključuje posle nekog vremena, ako nije u upotrebi, time štedeći bateriju.  \n- Unimer poseduje osigurac protiv pregorevanja u slucaju odabira pogrešnog mernog domašaja. To znaci da, ako merite 220 V na domašaju do 20 V, unimer nece pregoreti, ali hoce jeftini osigurac.  \n- Uredaj se napaja jednom baterijom od 9 V (ukljuceno u pakovanje).  \n\nUredaj služi za merenje:  \n\n- TEMPERATURE (od -40 do 1.000 stepeni celzijusa)\n- ispravnosti PNP i NPN tranzistora\n- elektricne otpornosti (do 200 megaoma)\n- elektricne kapacitivnosti (do 2 nanofarada)\n- jednosmernog elektricnog napona (do 1.000 V)\n- naizmenicnog elektricnog napona (do 750 V, 40 ~ 400 Hz)\n- jednosmerne elektricne struje (do 20 A)\n- naizmenicne elektricne struje (do 20 A, 40 ~ 400 Hz)\n- frekvencije naizmenicnih elektricnih velicina\nKomplet sadrži:  \nVC9208N x1\nPipalice x 1\nTermo sonda x 1\nUgradjena Baterija x1\nUputstvo na engleskom x1\nID Oglasa: #126456115\nPrijavi', 'file2': 'Sam unimer je izradjen od tvrde crne plastike. - Ekran na unimeru je LCD.  \n- Unimer se sam isključuje posle nekog vremena, ako nije u upotrebi, time štedeći bateriju.  \n- Unimer poseduje osigurac protiv pregorevanja u slucaju odabira pogrešnog mernog domašaja. To znaci da, ako merite 220 V na domašaju do 20 V, unimer nece pregoreti, ali hoce jeftini osigurac.  \n- Uredaj se napaja jednom baterijom od 9 V (ukljuceno u pakovanje).  \n\nUredaj služi za merenje:  \n\n- TEMPERATURE (od -40 do 1.000 stepeni celzijusa)\n- ispravnosti PNP i NPN tranzistora\n- elektricne otpornosti (do 200 megaoma)\n- elektricne kapacitivnosti (do 2 nanofarada)\n- jednosmernog elektricnog napona (do 1.000 V)\n- naizmenicnog elektricnog napona (do 750 V, 40 ~ 400 Hz)\n- jednosmerne elektricne struje (do 20 A)\n- naizmenicne elektricne struje (do 20 A, 40 ~ 400 Hz)\n- frekvencije naizmenicnih elektricnih velicina\nKomplet sadrži:  \nVC9208N x1\nPipalice x 1\nTermo sonda x 1\nUgradjena Baterija x1\nUputstvo na engleskom x1\nID Oglasa: #126456115\nPrijavi'}","{'file1': '990 din\nZamena moguća', 'file2': '1.200 din\nZamena moguća'}",
ID Oglasa: #161050503,"Radapciger za izvlacenje spona,jabučica",,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #153027674,Nastavak za bušilicu za sečenje/rezanje lima,"{'file1': 'U potrazi ste za efikasnim i preciznim alatom za rezanje lima? Naš Nastavak za bušilicu za rezanje lima je idealno rješenje za vaše potrebe. Bez obzira da li se bavite metalurgijom, zanatskim radom ili vam je jednostavno potreban praktičan alat za rezanje lima, naš nastavak će vas oduševiti.\nNastavak je dizajniran za jednostavnu montažu na vašu bušilicu i omogućava vam precizno i brzo rezanje lima. Izrađen od visokokvalitetnih materijala, naš nastavak je izuzetno izdržljiv i pouzdan, osiguravajući dugotrajnu upotrebu.\nSa našim nastavkom za bušilicu, možete rezati različite vrste lima bez napora. Bilo da se radi o tankom ili debljem limu, naš alat će vam omogućiti glatko i precizno rezanje. Ne samo da ćete uštedjeti vrijeme, već ćete dobiti i profesionalne rezultate.\nNaš nastavak je praktičan i jednostavan za korištenje. Samo ga pričvrstite na bušilicu, odaberite željeno mjesto rezanja i započnite sa sigurnim i efikasnim rezanjem lima. Bez obzira da li se radi o profesionalnom radu ili kućnim popravkama, naš nastavak će vam olakšati posao.\nNaručite naš Nastavak za bušilicu za rezanje lima i iskusite njegovu snagu i preciznost. Uz naš alat, rezanje lima će postati jednostavno i efikasno, bez obzira na vaše potrebe.\nID Oglasa: #153027674\nPrijavi', 'file2': 'U potrazi ste za efikasnim i preciznim alatom za rezanje lima? Naš Nastavak za bušilicu za rezanje lima je idealno rješenje za vaše potrebe. Bez obzira da li se bavite metalurgijom, zanatskim radom ili vam je jednostavno potreban praktičan alat za rezanje lima, naš nastavak će vas oduševiti.\nNastavak je dizajniran za jednostavnu montažu na vašu bušilicu i omogućava vam precizno i brzo rezanje lima. Izrađen od visokokvalitetnih materijala, naš nastavak je izuzetno izdržljiv i pouzdan, osiguravajući dugotrajnu upotrebu.\nSa našim nastavkom za bušilicu, možete rezati različite vrste lima bez napora. Bilo da se radi o tankom ili debljem limu, naš alat će vam omogućiti glatko i precizno rezanje. Ne samo da ćete uštedjeti vrijeme, već ćete dobiti i profesionalne rezultate.\nNaš nastavak je praktičan i jednostavan za korištenje. Samo ga pričvrstite na bušilicu, odaberite željeno mjesto rezanja i započnite sa sigurnim i efikasnim rezanjem lima. Bez obzira da li se radi o profesionalnom radu ili kućnim popravkama, naš nastavak će vam olakšati posao.\nNaručite naš Nastavak za bušilicu za rezanje lima i iskusite njegovu snagu i preciznost. Uz naš alat, rezanje lima će postati jednostavno i efikasno, bez obzira na vaše potrebe. Seče lim do 1.5mm\nID Oglasa: #153027674\nPrijavi'}","{'file1': '1.000 din', 'file2': '950 din'}",
ID Oglasa: #168090066,Žabice za tapacirung sa setom za skidanje 229kom,,,"{'file1': 'Automobili | Oprema\n>\nPatosnice, presvlake i tapacirung', 'file2': 'Auto oprema\n>\nPatosnice, presvlake i tapacirung'}"
ID Oglasa: #86027527,Prva pomoć Galenika 5.2029 NAJNOVIJA,,"{'file1': '1.100 din', 'file2': '980 din'}","{'file1': 'Automobili | Oprema\n>\nObavezna oprema', 'file2': 'Auto oprema\n>\nObavezna oprema'}"
ID Oglasa: #41203273,Kandze za sabijanje opruga set 2 komada,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #130236671,"Set 19 alata za skidanje žabica,auto radija CD,lajsni itd",,,"{'file1': 'Automobili | Oprema\n>\nRadio/CD/DVD za auto | Delovi', 'file2': 'Auto oprema\n>\nRadio/CD/DVD za auto | Delovi'}"
ID Oglasa: #137733830,Set burgija 99komada u koferu6 1.5-10mm,,"{'file1': '1.400 din\nZamena moguća', 'file2': '1.380 din\nZamena moguća'}",
ID Oglasa: #144516945,Frezeri/glodala za drvo set 15kom/prihvat 6mm,,"{'file1': '1.450 din', 'file2': '1.550 din'}",
ID Oglasa: #152894907,Alat za popravku i odrzavanje satova 24kom,,"{'file1': '1.500 din', 'file2': '1.380 din'}",
ID Oglasa: #171006073,Set za preživljavanje SURVIVAL KIT,,"{'file1': '1.600 din', 'file2': '1.550 din'}",
ID Oglasa: #105940016,Diht traka za prozore gumirana tip D 50/100m/1700din/kotur,"{'file1': 'Dimenzija trake :\nŠirina 9mm x Debljina 7.5mm\nCena trake data za 1 dupli metar ( 1 m =2 m trake)\nKada poručujete imajte na umu da poručivanjem 50m dobijate dupliranu traku koju razdvajanjem dobijate 100m\n\nCENA ZA PAKOVANJE 50m. . . . .1700din\nNe prodajemo na metar, iskljucivo u pakovanju 50m\n\n\nNA STANJU BRAON i BELA BOJA\nID Oglasa: #105940016\nPrijavi', 'file2': 'Dimenzija trake :\nŠirina 9mm x Debljina 7.5mm\nCena trake data za 1 dupli metar ( 1 m =2 m trake)\nKada poručujete imajte na umu da poručivanjem 50m dobijate dupliranu traku koju razdvajanjem dobijate 100m\n\nCENA ZA PAKOVANJE 50m. . . . .1850din\nNe prodajemo na metar, iskljucivo u pakovanju 50m\n\n\nNA STANJU BRAON i BELA BOJA\nID Oglasa: #105940016\nPrijavi'}","{'file1': '1.700 din\nZamena moguća', 'file2': '1.850 din\nZamena moguća'}",
ID Oglasa: #156512361,Kopče za auto tapacirung set 240kom,,,"{'file1': 'Automobili | Oprema\n>\nPatosnice, presvlake i tapacirung', 'file2': 'Auto oprema\n>\nPatosnice, presvlake i tapacirung'}"
ID Oglasa: #137729788,Pistolj lemilica 50w za varenje plastike+200kom uložaka,"{'file1': 'Radi na principu zagrevanja metalnih spajalica koje se vare u polomljenu plastiku i time stvaraju čvršću vezu.\nMože se koristiti za popravku bilo kakvih plastičnih proizvoda u svakodnevom životu.   Pogodno za popravku i jačanje svih plastičnih delova automobila, kao što su branici, instrument tabla. .\nJednostavan za korišćenje i lak za upotrebu.\n● Ulazni napon : 220V ~ 50/60H\n● Izlazna struja : 0-15A\n● Jacina 50w\nU setu se nalazi : -pistolj-secice-skalpel-patrone 4 vrste po 50kom\n\nNovo u fabrickom pakovanju.\n  Posebno žice 500kom. . . . . .600din\nID Oglasa: #137729788\nPrijavi', 'file2': 'U PONUDI DVE JAČINE\n● 50W (500° c) . . . . . .1640 din\n● 80W (600° c). . . . . .1940 din\n  Radi na principu zagrevanja metalnih spajalica koje se vare u polomljenu plastiku i time stvaraju čvršću vezu.  \nMože se koristiti za popravku bilo kakvih plastičnih proizvoda u svakodnevom životu.   Pogodno za popravku i jačanje svih plastičnih delova automobila, kao što su branici, instrument tabla. .\nJednostavan za korišćenje i lak za upotrebu.\n● Ulazni napon : 220V ~ 50/60H\n● Izlazna struja : 0-15A\n● Jacina 50w ili 80w\nU setu se nalazi : -pistolj-secice-skalpel-patrone 4 vrste po 50kom\n\nNovo u fabrickom pakovanju.\n  Posebno žice 500 kom. . . . . .580 din\nID Oglasa: #137729788\nPrijavi'}","{'file1': '1.700 din\nZamena moguća', 'file2': '1.640 din\nZamena moguća'}",
ID Oglasa: #155975584,Alat za ispravljanje peglanje limarije/ulubljenja na autu,,,"{'file1': 'Automobili | Delovi i alati\n>\nAlati i oprema za autoservise', 'file2': 'Auto delovi i alati\n>\nAlati i oprema za autoservise'}"
ID Oglasa: #164914617,Set za skidanje matica leve burgije za matice i glave šrafa,,"{'file1': '2.000 din', 'file2': '1.650 din'}",
